code_station,date,debit
O6140010,2020-10-14 23:45:00,357.46
O7094010,2020-10-14 23:45:00,3.019
O6140010,2020-10-14 23:30:00,361.282
O7094010,2020-10-14 23:30:00,3.019
O6140010,2020-10-14 23:15:00,363.634
O7094010,2020-10-14 23:15:00,2.936
COUTET,2020-10-14 23:00:00,95.8
O7145220,2020-10-14 23:00:00,1.33
O7041510,2020-10-14 23:00:00,2.88
O7101510,2020-10-14 23:00:00,6.55
O7074020,2020-10-14 23:00:00,1.18
ENTEDF,2020-10-14 23:00:00,25.5
CAHEDF,2020-10-14 23:00:00,54.2
GOUL,2020-10-14 23:00:00,4.46
O7161510_E,2020-10-14 23:00:00,13.8
NAT_O77015,2020-10-14 23:00:00,72.3835
O7054010,2020-10-14 23:00:00,0.6
O6140010,2020-10-14 23:00:00,363.634
O7094010,2020-10-14 23:00:00,2.936
O6140010,2020-10-14 22:45:00,364.81
O7094010,2020-10-14 22:45:00,2.936
O6140010,2020-10-14 22:30:00,365.104
O7094010,2020-10-14 22:30:00,2.936
O6140010,2020-10-14 22:15:00,365.104
O7094010,2020-10-14 22:15:00,2.936
COUTET,2020-10-14 22:00:00,94.8
O7145220,2020-10-14 22:00:00,1.32
O7041510,2020-10-14 22:00:00,2.89
O7101510,2020-10-14 22:00:00,6.55
O7074020,2020-10-14 22:00:00,1.14
ENTEDF,2020-10-14 22:00:00,42
CAHEDF,2020-10-14 22:00:00,54.2
GOUL,2020-10-14 22:00:00,4.51
O7161510_E,2020-10-14 22:00:00,19
NAT_O77015,2020-10-14 22:00:00,71.6283
O7054010,2020-10-14 22:00:00,0.58
O6140010,2020-10-14 22:00:00,365.104
O7094010,2020-10-14 22:00:00,2.936
O6140010,2020-10-14 21:45:00,365.986
O7094010,2020-10-14 21:45:00,2.895
O6140010,2020-10-14 21:30:00,365.104
O7094010,2020-10-14 21:30:00,2.854
O6140010,2020-10-14 21:15:00,365.986
O7094010,2020-10-14 21:15:00,2.84
COUTET,2020-10-14 21:00:00,91.4
O7145220,2020-10-14 21:00:00,1.32
O7041510,2020-10-14 21:00:00,2.91
O7101510,2020-10-14 21:00:00,6.58
O7054010,2020-10-14 21:00:00,0.57
O7074020,2020-10-14 21:00:00,1.11
ENTEDF,2020-10-14 21:00:00,53
CAHEDF,2020-10-14 21:00:00,60.5
O7161510_E,2020-10-14 21:00:00,25.2
NAT_O77015,2020-10-14 21:00:00,70.8358
GOUL,2020-10-14 21:00:00,4.46
O6140010,2020-10-14 21:00:00,365.104
O7094010,2020-10-14 21:00:00,2.84
O6140010,2020-10-14 20:45:00,366.574
O7094010,2020-10-14 20:45:00,2.827
O6140010,2020-10-14 20:30:00,366.28
O7094010,2020-10-14 20:30:00,2.827
O6140010,2020-10-14 20:15:00,365.692
O7094010,2020-10-14 20:15:00,2.827
COUTET,2020-10-14 20:00:00,97.1
O7145220,2020-10-14 20:00:00,1.31
O7041510,2020-10-14 20:00:00,2.96
O7101510,2020-10-14 20:00:00,6.55
O7054010,2020-10-14 20:00:00,0.56
O7074020,2020-10-14 20:00:00,1.07
ENTEDF,2020-10-14 20:00:00,69.3
CAHEDF,2020-10-14 20:00:00,71.6
O7161510_E,2020-10-14 20:00:00,23.2
NAT_O77015,2020-10-14 20:00:00,70.1121
GOUL,2020-10-14 20:00:00,4.46
O6140010,2020-10-14 20:00:00,365.104
O7094010,2020-10-14 20:00:00,2.759
O6140010,2020-10-14 19:45:00,365.104
O7094010,2020-10-14 19:45:00,2.759
O6140010,2020-10-14 19:30:00,365.104
O7094010,2020-10-14 19:30:00,2.759
O6140010,2020-10-14 19:15:00,366.574
O7094010,2020-10-14 19:15:00,2.759
COUTET,2020-10-14 19:00:00,106
O7145220,2020-10-14 19:00:00,1.29
O7041510,2020-10-14 19:00:00,3.04
O7101510,2020-10-14 19:00:00,6.49
O7054010,2020-10-14 19:00:00,0.55
O7074020,2020-10-14 19:00:00,1.01
ENTEDF,2020-10-14 19:00:00,64.6
CAHEDF,2020-10-14 19:00:00,84.9
GOUL,2020-10-14 19:00:00,4.53
O7161510_E,2020-10-14 19:00:00,9.92
NAT_O77015,2020-10-14 19:00:00,69.5901
O6140010,2020-10-14 19:00:00,365.692
O7094010,2020-10-14 19:00:00,2.745
O6140010,2020-10-14 18:45:00,365.692
O7094010,2020-10-14 18:45:00,2.745
O6140010,2020-10-14 18:30:00,365.104
O7094010,2020-10-14 18:30:00,2.745
O6140010,2020-10-14 18:15:00,364.81
O7094010,2020-10-14 18:15:00,2.745
COUTET,2020-10-14 18:00:00,108
O7145220,2020-10-14 18:00:00,1.27
O7041510,2020-10-14 18:00:00,3.02
O7101510,2020-10-14 18:00:00,6.49
O7054010,2020-10-14 18:00:00,0.54
O7074020,2020-10-14 18:00:00,0.97
ENTEDF,2020-10-14 18:00:00,43.1
CAHEDF,2020-10-14 18:00:00,91.6
GOUL,2020-10-14 18:00:00,4.57
O7161510_E,2020-10-14 18:00:00,10.4
NAT_O77015,2020-10-14 18:00:00,70.0129
O6140010,2020-10-14 18:00:00,361.282
O7094010,2020-10-14 18:00:00,2.745
O6140010,2020-10-14 17:45:00,357.46
O7094010,2020-10-14 17:45:00,2.745
O6140010,2020-10-14 17:30:00,357.166
O7094010,2020-10-14 17:30:00,2.745
O6140010,2020-10-14 17:15:00,357.46
O7094010,2020-10-14 17:15:00,2.745
COUTET,2020-10-14 17:00:00,111
O7145220,2020-10-14 17:00:00,1.26
O7041510,2020-10-14 17:00:00,2.97
O7101510,2020-10-14 17:00:00,6.52
O7054010,2020-10-14 17:00:00,0.54
O7074020,2020-10-14 17:00:00,0.9
ENTEDF,2020-10-14 17:00:00,44.6
CAHEDF,2020-10-14 17:00:00,92.6
O7161510_E,2020-10-14 17:00:00,11.2
NAT_O77015,2020-10-14 17:00:00,69.363
GOUL,2020-10-14 17:00:00,4.57
O6140010,2020-10-14 17:00:00,357.166
O7094010,2020-10-14 17:00:00,2.745
O6140010,2020-10-14 16:45:00,357.46
O7094010,2020-10-14 16:45:00,2.759
O6140010,2020-10-14 16:30:00,357.46
O7094010,2020-10-14 16:30:00,2.759
O6140010,2020-10-14 16:15:00,357.166
O7094010,2020-10-14 16:15:00,2.745
COUTET,2020-10-14 16:00:00,111
O7145220,2020-10-14 16:00:00,1.26
O7041510,2020-10-14 16:00:00,2.96
O7101510,2020-10-14 16:00:00,6.49
O7054010,2020-10-14 16:00:00,0.54
O7074020,2020-10-14 16:00:00,0.89
ENTEDF,2020-10-14 16:00:00,45.8
CAHEDF,2020-10-14 16:00:00,97.3
O7161510_E,2020-10-14 16:00:00,17.6
NAT_O77015,2020-10-14 16:00:00,68.9659
GOUL,2020-10-14 16:00:00,4.35
O6140010,2020-10-14 16:00:00,357.46
O7094010,2020-10-14 16:00:00,2.745
O6140010,2020-10-14 15:45:00,357.166
O7094010,2020-10-14 15:45:00,2.718
O6140010,2020-10-14 15:30:00,357.46
O7094010,2020-10-14 15:30:00,2.677
O6140010,2020-10-14 15:15:00,361.282
O7094010,2020-10-14 15:15:00,2.677
COUTET,2020-10-14 15:00:00,109
O7145220,2020-10-14 15:00:00,1.26
O7041510,2020-10-14 15:00:00,2.99
O7101510,2020-10-14 15:00:00,6.52
O7054010,2020-10-14 15:00:00,0.54
O7074020,2020-10-14 15:00:00,0.91
ENTEDF,2020-10-14 15:00:00,47.5
CAHEDF,2020-10-14 15:00:00,102
GOUL,2020-10-14 15:00:00,4.27
O7161510_E,2020-10-14 15:00:00,25.2
NAT_O77015,2020-10-14 15:00:00,68.5196
O6140010,2020-10-14 15:00:00,365.104
O7094010,2020-10-14 15:00:00,2.65
O6140010,2020-10-14 14:45:00,365.104
O7094010,2020-10-14 14:45:00,2.65
O6140010,2020-10-14 14:30:00,365.104
O7094010,2020-10-14 14:30:00,2.65
O6140010,2020-10-14 14:15:00,365.104
O7094010,2020-10-14 14:15:00,2.677
COUTET,2020-10-14 14:00:00,105
O7145220,2020-10-14 14:00:00,1.27
O7041510,2020-10-14 14:00:00,2.89
O7101510,2020-10-14 14:00:00,6.41
O7054010,2020-10-14 14:00:00,0.54
O7074020,2020-10-14 14:00:00,0.95
ENTEDF,2020-10-14 14:00:00,47.8
CAHEDF,2020-10-14 14:00:00,103
GOUL,2020-10-14 14:00:00,4.29
O7161510_E,2020-10-14 14:00:00,25
NAT_O77015,2020-10-14 14:00:00,68.2169
O6140010,2020-10-14 14:00:00,365.104
O7094010,2020-10-14 14:00:00,2.677
O6140010,2020-10-14 13:45:00,361.576
O7094010,2020-10-14 13:45:00,2.65
O6140010,2020-10-14 13:30:00,361.282
O7094010,2020-10-14 13:30:00,2.664
O6140010,2020-10-14 13:15:00,357.46
O7094010,2020-10-14 13:15:00,2.65
COUTET,2020-10-14 13:00:00,100
O7145220,2020-10-14 13:00:00,1.26
O7041510,2020-10-14 13:00:00,2.89
O7101510,2020-10-14 13:00:00,6.38
O7054010,2020-10-14 13:00:00,0.54
O7074020,2020-10-14 13:00:00,0.96
ENTEDF,2020-10-14 13:00:00,47.8
CAHEDF,2020-10-14 13:00:00,99.6
O7161510_E,2020-10-14 13:00:00,25.4
NAT_O77015,2020-10-14 13:00:00,68.3424
GOUL,2020-10-14 13:00:00,4.23
O6140010,2020-10-14 13:00:00,353.05
O7094010,2020-10-14 13:00:00,2.65
O6140010,2020-10-14 12:45:00,353.05
O7094010,2020-10-14 12:45:00,2.65
O6140010,2020-10-14 12:30:00,348.934
O7094010,2020-10-14 12:30:00,2.65
O6140010,2020-10-14 12:15:00,345.7
O7094010,2020-10-14 12:15:00,2.65
COUTET,2020-10-14 12:00:00,98.1
O7145220,2020-10-14 12:00:00,1.26
O7041510,2020-10-14 12:00:00,2.97
O7101510,2020-10-14 12:00:00,6.35
O7054010,2020-10-14 12:00:00,0.54
O7074020,2020-10-14 12:00:00,0.91
ENTEDF,2020-10-14 12:00:00,43.5
CAHEDF,2020-10-14 12:00:00,95.6
O7161510_E,2020-10-14 12:00:00,25
NAT_O77015,2020-10-14 12:00:00,67.6869
O6140010,2020-10-14 12:00:00,337.174
O7094010,2020-10-14 12:00:00,2.65
GOUL,2020-10-14 12:00:00,4.12
O6140010,2020-10-14 11:45:00,332.764
O7094010,2020-10-14 11:45:00,2.65
O6140010,2020-10-14 11:30:00,328.177
O7094010,2020-10-14 11:30:00,2.65
O6140010,2020-10-14 11:15:00,325.61
O7094010,2020-10-14 11:15:00,2.65
COUTET,2020-10-14 11:00:00,100
O7145220,2020-10-14 11:00:00,1.26
O7041510,2020-10-14 11:00:00,3.02
O7101510,2020-10-14 11:00:00,6.35
O7054010,2020-10-14 11:00:00,0.54
O7074020,2020-10-14 11:00:00,0.88
ENTEDF,2020-10-14 11:00:00,29.8
CAHEDF,2020-10-14 11:00:00,95.1
GOUL,2020-10-14 11:00:00,4.06
O7161510_E,2020-10-14 11:00:00,25.2
NAT_O77015,2020-10-14 11:00:00,67.7475
O6140010,2020-10-14 11:00:00,322.017
O7094010,2020-10-14 11:00:00,2.65
O6140010,2020-10-14 10:45:00,323.557
O7094010,2020-10-14 10:45:00,2.65
O6140010,2020-10-14 10:30:00,325.353
O7094010,2020-10-14 10:30:00,2.65
O6140010,2020-10-14 10:15:00,326.637
O7094010,2020-10-14 10:15:00,2.636
COUTET,2020-10-14 10:00:00,93.6
O7145220,2020-10-14 10:00:00,1.26
O7041510,2020-10-14 10:00:00,2.86
O7101510,2020-10-14 10:00:00,6.35
O7054010,2020-10-14 10:00:00,0.54
O7074020,2020-10-14 10:00:00,0.87
ENTEDF,2020-10-14 10:00:00,22.5
CAHEDF,2020-10-14 10:00:00,100
GOUL,2020-10-14 10:00:00,4
