code_station,date,debit
O7202510,2020-10-14,0.928770833333333
O7234010,2020-10-14,0.943819444444445
O7245010,2020-10-14,0.3569375
O7265010,2020-10-14,0.430847222222222
O7410401,2020-10-14,3.32199305555556
O8264010,2020-10-14,3.37209722222222
O7434010,2020-10-14,0.704465277777778
O7515510,2020-10-14,0.290895833333333
O7535010,2020-10-14,1.61457638888889
O7041510,2020-10-14,2.93291666666667
O7145220,2020-10-14,1.26541666666667
O7272510,2020-10-14,3.80583333333333
O7354010,2020-10-14,1.39041666666667
O7444010,2020-10-14,6.8825
O7635010,2020-10-14,3.4175
O7054010,2020-10-14,0.542916666666667
O7074020,2020-10-14,0.9175
COUTET,2020-10-14,96.2083333333333
CAHEDF,2020-10-14,90.1291666666667
ENTEDF,2020-10-14,35.2666666666667
O7161510_E,2020-10-14,16.5333333333333
NAT_O77015,2020-10-14,68.5012041666667
O7101510,2020-10-14,6.41708333333333
GOUL,2020-10-14,4.135
TRUY_VIR,2020-10-14,22.6921145833333
O7094010,2020-10-14,2.6713125
O8133520,2020-10-14,12.3472708333333
O8231530,2020-10-14,80.5981354166667
O7701540,2020-10-14,36.3467916666667
O7971510,2020-10-14,50.3313541666667
O7874010,2020-10-14,3.52946875
O7944020,2020-10-14,0.669645833333333
O8113520,2020-10-14,7.94897916666668
O8255010,2020-10-14,0.806885416666667
O8344020,2020-10-14,0.173125
O7191510,2020-10-14,13.851375
O6140010,2020-10-14,337.712541666666
O9000010,2020-10-14,445.45775
O8661520,2020-10-14,115.406604166667
O8584010,2020-10-14,0.805
O8394310,2020-10-14,0.771
O7001510,2020-10-14,0.893
O7015810,2020-10-14,0.506
O7021530,2020-10-14,1.82
O7035010,2020-10-14,0.538
O7085010,2020-10-14,0.576
O7825010,2020-10-14,0.635
O7234030,2020-10-14,0.74132638888889
O7202510,2020-10-13,0.89211111111111
O7234010,2020-10-13,0.849805555555554
O7245010,2020-10-13,0.300222222222222
O7410401,2020-10-13,2.58849305555556
O8264010,2020-10-13,2.73417361111111
O7434010,2020-10-13,0.674930555555556
O7515510,2020-10-13,0.262291666666667
O7535010,2020-10-13,1.53544444444445
O7041510,2020-10-13,2.9225
O7145220,2020-10-13,1.12458333333333
O7272510,2020-10-13,3.62208333333333
O7354010,2020-10-13,1.25916666666667
O7444010,2020-10-13,5.16125
O7635010,2020-10-13,2.84708333333333
O7054010,2020-10-13,0.522916666666666
O7074020,2020-10-13,0.811666666666667
COUTET,2020-10-13,91.5375
CAHEDF,2020-10-13,99.6375
ENTEDF,2020-10-13,57.0083333333333
O7161510_E,2020-10-13,27.87125
NAT_O77015,2020-10-13,57.6931791666667
O7101510,2020-10-13,6.43875
O7265010,2020-10-13,0.378006944444444
GOUL,2020-10-13,3.55333333333333
O7094010,2020-10-13,2.57527083333334
O8113520,2020-10-13,6.10728125
O6140010,2020-10-13,329.190854166667
O9000010,2020-10-13,400.635
TRUY_VIR,2020-10-13,31.7398645833333
O8133520,2020-10-13,10.9037083333333
O8231530,2020-10-13,92.3271979166666
O7701540,2020-10-13,58.4471875
O7971510,2020-10-13,74.5373229166667
O7874010,2020-10-13,3.52234375
O7944020,2020-10-13,0.547645833333334
O8255010,2020-10-13,0.858354166666668
O8344020,2020-10-13,0.17
O7191510,2020-10-13,26.8111666666667
O8661520,2020-10-13,99.11225
O7825010,2020-10-13,0.671
O7001510,2020-10-13,0.875
O7015810,2020-10-13,0.459
O7021530,2020-10-13,1.81
O7035010,2020-10-13,0.495
O7085010,2020-10-13,0.601
O8394310,2020-10-13,0.663
O8584010,2020-10-13,0.808
O7234030,2020-10-13,0.589010101010101
O7202510,2020-10-12,0.996076388888888
O7245010,2020-10-12,0.363215277777778
O7265010,2020-10-12,0.422055555555555
O7410401,2020-10-12,2.95577083333333
O8264010,2020-10-12,2.97503472222222
O7434010,2020-10-12,0.729402777777778
O7515510,2020-10-12,0.268722222222222
O7535010,2020-10-12,1.65777083333333
O7041510,2020-10-12,3.125
O7145220,2020-10-12,1.24958333333333
O7354010,2020-10-12,1.39333333333333
O7444010,2020-10-12,5.80083333333333
O7635010,2020-10-12,3.15
O7054010,2020-10-12,0.55625
O7074020,2020-10-12,0.865
COUTET,2020-10-12,71.6083333333333
CAHEDF,2020-10-12,58.3
ENTEDF,2020-10-12,62.7875
O7161510_E,2020-10-12,30.5575
NAT_O77015,2020-10-12,63.7255875
O7101510,2020-10-12,6.94875
O7272510,2020-10-12,4.0875
O7234010,2020-10-12,0.903368055555556
GOUL,2020-10-12,3.98791666666667
O7094010,2020-10-12,2.84109375
O8113520,2020-10-12,6.65916666666666
O6140010,2020-10-12,244.489260416667
O9000010,2020-10-12,349.799395833334
O8133520,2020-10-12,12.5479375
O7944020,2020-10-12,0.559291666666666
TRUY_VIR,2020-10-12,38.6970208333333
O8231530,2020-10-12,52.5539895833333
O7701540,2020-10-12,66.2200729166667
O7971510,2020-10-12,58.0343125
O7874010,2020-10-12,3.95873958333333
O8255010,2020-10-12,0.971729166666667
O8344020,2020-10-12,0.17
O7191510,2020-10-12,27.5230520833333
O8661520,2020-10-12,83.6003645833333
O7001510,2020-10-12,0.829
O7015810,2020-10-12,0.471
O7021530,2020-10-12,1.93
O7035010,2020-10-12,0.515
O7085010,2020-10-12,0.665
O7825010,2020-10-12,0.731
O8394310,2020-10-12,0.69
O8584010,2020-10-12,0.572
O7202510,2020-10-11,1.00295138888889
O7245010,2020-10-11,0.306819444444444
O7265010,2020-10-11,0.374895833333333
O7410401,2020-10-11,3.20842361111111
O8264010,2020-10-11,3.30220138888889
O7434010,2020-10-11,0.766097222222223
O7515510,2020-10-11,0.274666666666667
O7535010,2020-10-11,1.83293055555555
O7041510,2020-10-11,3.32708333333333
O7145220,2020-10-11,1.48791666666667
O7272510,2020-10-11,3.675
O7354010,2020-10-11,1.365
O7444010,2020-10-11,6.51333333333333
O7635010,2020-10-11,3.5125
O7054010,2020-10-11,0.537916666666667
O7074020,2020-10-11,0.867916666666667
COUTET,2020-10-11,97.1333333333333
CAHEDF,2020-10-11,84.3041666666667
ENTEDF,2020-10-11,24.6833333333333
O7161510_E,2020-10-11,10.5475
NAT_O77015,2020-10-11,69.9182
O7101510,2020-10-11,7.29
O7234010,2020-10-11,0.8710625
GOUL,2020-10-11,4.27125
O7094010,2020-10-11,2.95729166666667
O8113520,2020-10-11,7.45929166666667
O6140010,2020-10-11,233.346760416667
O9000010,2020-10-11,380.80178125
O8133520,2020-10-11,14.72765625
O7944020,2020-10-11,0.657614583333334
O7234030,2020-10-11,0.639694117647059
O7001510,2020-10-11,0.855
O7015810,2020-10-11,0.494
TRUY_VIR,2020-10-11,14.6383541666667
O8231530,2020-10-11,74.1675104166667
O7701540,2020-10-11,25.3810833333333
O7971510,2020-10-11,44.55715625
O7874010,2020-10-11,4.98475
O8255010,2020-10-11,1.18480208333333
O8344020,2020-10-11,0.17625
O7191510,2020-10-11,11.3937604166667
O8661520,2020-10-11,109.936885416667
O7021530,2020-10-11,2.03
O7035010,2020-10-11,0.539
O7085010,2020-10-11,0.686
O7825010,2020-10-11,0.82
O8394310,2020-10-11,0.656
O8584010,2020-10-11,0.614
O7202510,2020-10-10,0.977631944444444
O7234010,2020-10-10,0.853166666666665
O7245010,2020-10-10,0.284229166666667
O7410401,2020-10-10,3.28975694444444
O8264010,2020-10-10,3.80901388888889
O7434010,2020-10-10,0.808854166666666
O7515510,2020-10-10,0.309659722222222
O7535010,2020-10-10,2.09127083333333
O7041510,2020-10-10,3.65041666666667
O7145220,2020-10-10,1.75333333333333
O7272510,2020-10-10,3.66041666666667
O7354010,2020-10-10,1.35958333333333
O7444010,2020-10-10,6.76916666666667
O7635010,2020-10-10,4.20666666666667
O7054010,2020-10-10,0.53625
O7074020,2020-10-10,0.869583333333333
COUTET,2020-10-10,139.7125
CAHEDF,2020-10-10,120.370833333333
ENTEDF,2020-10-10,42.3541666666667
O7161510_E,2020-10-10,22.9375
NAT_O77015,2020-10-10,76.6595625
O7101510,2020-10-10,7.89958333333333
O7265010,2020-10-10,0.358916666666666
GOUL,2020-10-10,4.98666666666667
TRUY_VIR,2020-10-10,16.41815625
O7094010,2020-10-10,3.12397916666667
O8133520,2020-10-10,18.59790625
O8231530,2020-10-10,108.320875
O7701540,2020-10-10,42.1892291666667
O7971510,2020-10-10,62.1704791666667
O7874010,2020-10-10,7.01557291666668
O7944020,2020-10-10,0.800916666666667
O8113520,2020-10-10,8.79967708333333
O8255010,2020-10-10,1.52796875
O8344020,2020-10-10,0.185760416666667
O7191510,2020-10-10,26.0750833333333
O6140010,2020-10-10,277.119885416667
O9000010,2020-10-10,491.484510416666
O8661520,2020-10-10,172.812010416667
O7234030,2020-10-10,0.634513888888888
O7001510,2020-10-10,0.972
O7015810,2020-10-10,0.534
O7021530,2020-10-10,2.21
O7035010,2020-10-10,0.589
O7085010,2020-10-10,0.731
O7825010,2020-10-10,1.04
O8394310,2020-10-10,0.69
O8584010,2020-10-10,0.848
O7202510,2020-10-09,1.01250694444444
O7245010,2020-10-09,0.296118055555556
O7265010,2020-10-09,0.363611111111111
O8264010,2020-10-09,4.46941666666667
O7434010,2020-10-09,0.84561111111111
O7515510,2020-10-09,0.284812499999999
O7535010,2020-10-09,2.2390625
O7041510,2020-10-09,4.09416666666667
O7145220,2020-10-09,2.26416666666667
O7272510,2020-10-09,4.08
O7354010,2020-10-09,1.5025
O7444010,2020-10-09,7.785
O7635010,2020-10-09,4.87708333333333
O7054010,2020-10-09,0.565416666666667
O7074020,2020-10-09,0.966666666666667
COUTET,2020-10-09,202.875
CAHEDF,2020-10-09,183.416666666667
ENTEDF,2020-10-09,61.1125
O7161510_E,2020-10-09,35.7291666666667
NAT_O77015,2020-10-09,87.8957375
O7101510,2020-10-09,8.92041666666667
O7234010,2020-10-09,0.972097222222223
GOUL,2020-10-09,6.08041666666667
O7094010,2020-10-09,3.52326041666667
O8113520,2020-10-09,11.3208229166667
O6140010,2020-10-09,353.92653125
O9000010,2020-10-09,663.256458333334
O7410401,2020-10-09,3.55445833333333
TRUY_VIR,2020-10-09,26.7625416666667
O8133520,2020-10-09,26.7385520833333
O8231530,2020-10-09,170.455625
O7701540,2020-10-09,62.4803020833333
O7971510,2020-10-09,113.5626875
O7874010,2020-10-09,10.4062604166667
O7944020,2020-10-09,1.05996875
O8255010,2020-10-09,2.10670833333333
O8344020,2020-10-09,0.210489583333333
O7191510,2020-10-09,35.9603125
O8661520,2020-10-09,277.162729166667
O7234030,2020-10-09,0.765749999999999
O7001510,2020-10-09,1.05
O7015810,2020-10-09,0.604
O7021530,2020-10-09,2.47
O7035010,2020-10-09,0.657
O7085010,2020-10-09,0.824
O7825010,2020-10-09,1.31
O8394310,2020-10-09,0.818
O8584010,2020-10-09,1.2
O7041510,2020-10-08,4.8275
O7145220,2020-10-08,3.60458333333333
O7272510,2020-10-08,5.16625
O7354010,2020-10-08,1.76416666666667
O7444010,2020-10-08,11.18625
O7635010,2020-10-08,6.46208333333333
O7054010,2020-10-08,0.643333333333333
O7074020,2020-10-08,1.1725
COUTET,2020-10-08,311.416666666667
CAHEDF,2020-10-08,276.333333333333
ENTEDF,2020-10-08,111.875
O7161510_E,2020-10-08,53.0625
GOUL,2020-10-08,8.35166666666667
NAT_O77015,2020-10-08,117.385795833333
O7202510,2020-10-08,1.191375
O7234010,2020-10-08,1.34524305555556
O7245010,2020-10-08,0.354888888888889
O7265010,2020-10-08,0.4054375
O7410401,2020-10-08,4.91011805555555
O8264010,2020-10-08,5.834375
O7434010,2020-10-08,0.977618055555553
O7515510,2020-10-08,0.321465277777778
O7535010,2020-10-08,2.64073611111111
